Symbol,Side,Qty,Fill Price,Time,Net Amount,Commission
Mar20 '26,Sell,1,6870.75,2026/2/19 22:49,34353.75,0.62
Mar20 '26,Buy,1,6875.25,2026/2/19 22:48,34376.25,0.62
Mar20 '26,Buy,1,6873,2026/2/19 22:47,34365,0.62
Mar20 '26,Sell,1,6873.25,2026/2/19 22:46,34366.25,0.62
Mar20 '26,Buy,1,6869.75,2026/2/19 22:45,34348.75,0.62
Mar20 '26,Sell,1,6870,2026/2/19 22:45,34350,0.62
Mar20 '26,Buy,1,6876.75,2026/2/19 22:45,34383.75,0.62
Mar20 '26,Sell,1,6877.5,2026/2/19 22:44,34387.5,0.62
Mar20 '26,Buy,1,6867,2026/2/19 22:41,34335,0.62
Mar20 '26,Sell,1,6866.75,2026/2/19 22:41,34333.75,0.62
Mar20 '26,Buy,1,6865.75,2026/2/19 22:40,34328.75,0.62
Mar20 '26,Sell,1,6866.25,2026/2/19 22:40,34331.25,0.62
Mar20 '26,Buy,2,6865.75,2026/2/19 22:39,68657.5,1.24
Mar20 '26,Sell,1,6860.5,2026/2/19 22:36,34302.5,0.62
Mar20 '26,Buy,1,6865.5,2026/2/19 22:35,34327.5,0.62
Mar20 '26,Sell,1,6869.25,2026/2/19 22:33,34346.25,0.62
Mar20 '26,Sell,1,6871.5,2026/2/19 22:32,34357.5,0.62
Mar20 '26,Buy,1,6875.25,2026/2/19 22:31,34376.25,0.62
Mar20 '26,Sell,1,6873.75,2026/2/19 22:31,34368.75,0.62
Mar20 '26,Buy,1,6875.25,2026/2/19 22:31,34376.25,0.62
Mar20 '26,Sell,1,6911.75,2026/2/19 1:02,34558.75,0.62
Mar20 '26,Buy,1,6907.75,2026/2/19 1:00,34538.75,0.62
Mar20 '26,Sell,1,6912,2026/2/19 0:57,34560,0.62
Mar20 '26,Buy,1,6911.5,2026/2/19 0:56,34557.5,0.62
Mar20 '26,Sell,1,6920.5,2026/2/19 0:05,34602.5,0.62
Mar20 '26,Sell,1,6917.25,2026/2/18 23:41,34586.25,0.62
Mar20 '26,Sell,2,6916,2026/2/18 23:40,69160,1.24
Mar20 '26,Buy,2,6907.75,2026/2/18 23:34,69077.5,1.24
Mar20 '26,Buy,2,6915.75,2026/2/18 23:23,69157.5,1.24
Mar20 '26,Sell,1,6913.25,2026/2/18 23:20,34566.25,0.62
Mar20 '26,Sell,1,6915.5,2026/2/18 23:16,34577.5,0.62
Mar20 '26,Buy,2,6910.25,2026/2/18 23:13,69102.5,1.24
Mar20 '26,Sell,2,6906,2026/2/18 23:11,69060,1.24
Mar20 '26,Buy,2,6909,2026/2/18 23:10,69090,1.24
Mar20 '26,Sell,2,6909,2026/2/18 23:07,69090,1.24
Mar20 '26,Buy,2,6912,2026/2/18 23:06,69120,1.24
Mar20 '26,Sell,2,6914.75,2026/2/18 23:06,69147.5,1.24
Mar20 '26,Buy,2,6910.25,2026/2/18 23:04,69102.5,1.24
Mar20 '26,Sell,2,6904.75,2026/2/18 23:04,69047.5,1.24
Mar20 '26,Buy,2,6903.5,2026/2/18 23:03,69035,1.24
Mar20 '26,Sell,2,6891.75,2026/2/18 22:56,68917.5,1.24
Mar20 '26,Buy,2,6878.5,2026/2/18 22:53,68785,1.24
Mar20 '26,Sell,2,6878.25,2026/2/18 22:47,68782.5,1.24
Mar20 '26,Buy,2,6886,2026/2/18 22:45,68860,1.24
Mar20 '26,Sell,1,6881,2026/2/18 22:45,34405,0.62
Mar20 '26,Sell,1,6883.5,2026/2/18 22:44,34417.5,0.62
Mar20 '26,Buy,2,6880,2026/2/18 22:41,68800,1.24
Mar20 '26,Buy,2,6879.25,2026/2/18 22:38,68792.5,1.24
Mar20 '26,Sell,2,6876,2026/2/18 22:38,68760,1.24
Mar20 '26,Buy,2,6869,2026/2/18 22:30,68690,1.24
Mar20 '26,Sell,2,6875.5,2026/2/18 22:25,68755,1.24
Mar20 '26,Buy,2,6877.25,2026/2/18 22:21,68772.5,1.24
Mar20 '26,Buy,2,6878,2026/2/18 22:17,68780,1.24
Mar20 '26,Sell,2,6875,2026/2/18 22:08,68750,1.24
Mar20 '26,Sell,2,6875.5,2026/2/18 21:48,68755,1.24
Mar20 '26,Sell,1,6877.75,2026/2/18 21:47,34388.75,0.62
Mar20 '26,Buy,1,6880,2026/2/18 21:43,34400,0.62
Mar20 '26,Sell,1,6885.75,2026/2/18 21:39,34428.75,0.62
Mar20 '26,Buy,1,6885.5,2026/2/18 20:50,34427.5,0.62
Mar20 '26,Sell,1,6880.5,2026/2/18 20:49,34402.5,0.62
Mar20 '26,Buy,1,6883.25,2026/2/18 20:46,34416.25,0.62
Mar20 '26,Sell,1,6882.75,2026/2/18 20:43,34413.75,0.62
Mar20 '26,Buy,1,6895.75,2026/2/18 20:14,34478.75,0.62
Mar20 '26,Sell,1,6893.75,2026/2/18 20:09,34468.75,0.62
Mar20 '26,Buy,1,6897.5,2026/2/18 20:07,34487.5,0.62
Mar20 '26,Buy,1,6833.5,2026/2/18 0:05,34167.5,0.62
Mar20 '26,Sell,1,6827.25,2026/2/18 0:04,34136.25,0.62
Mar20 '26,Sell,1,6820.25,2026/2/18 0:00,34101.25,0.62
Mar20 '26,Sell,1,6820,2026/2/17 23:59,34100,0.62
Mar20 '26,Buy,1,6813.75,2026/2/17 23:55,34068.75,0.62
Mar20 '26,Buy,1,6811.75,2026/2/17 23:51,34058.75,0.62
Mar20 '26,Sell,1,6811.5,2026/2/17 23:47,34057.5,0.62
Mar20 '26,Buy,2,6800,2026/2/17 23:45,68000,1.24
Mar20 '26,Sell,1,6794.75,2026/2/17 23:43,33973.75,0.62
Mar20 '26,Sell,1,6791.25,2026/2/17 23:39,33956.25,0.62
Mar20 '26,Buy,1,6801.5,2026/2/17 23:37,34007.5,0.62
Mar20 '26,Sell,1,6830.25,2026/2/17 23:19,34151.25,0.62
Mar20 '26,Sell,1,6822.5,2026/2/17 23:18,34112.5,0.62
Mar20 '26,Buy,2,6817,2026/2/17 23:17,68170,1.24
Mar20 '26,Buy,1,6804,2026/2/17 23:13,34020,0.62
Mar20 '26,Buy,1,6804.75,2026/2/17 23:12,34023.75,0.62
Mar20 '26,Sell,2,6807.5,2026/2/17 23:09,68075,1.24
Mar20 '26,Buy,1,6813.25,2026/2/17 23:03,34066.25,0.62
Mar20 '26,Sell,1,6805.75,2026/2/17 23:01,34028.75,0.62
Mar20 '26,Sell,2,6854.5,2026/2/17 22:41,68545,1.24
Mar20 '26,Buy,2,6861.25,2026/2/17 22:41,68612.5,1.24
Mar20 '26,Sell,2,6856.5,2026/2/17 22:40,68565,1.24
Mar20 '26,Buy,2,6853.5,2026/2/17 22:38,68535,1.24
Mar20 '26,Sell,2,6854.25,2026/2/17 22:36,68542.5,1.24
Mar20 '26,Buy,2,6852,2026/2/17 22:35,68520,1.24
Mar20 '26,Sell,2,6844.75,2026/2/17 22:31,68447.5,1.24
Mar20 '26,Buy,2,6832.75,2026/2/17 22:04,68327.5,1.24
Mar20 '26,Sell,2,6817,2026/2/17 21:02,68170,1.24
Mar20 '26,Buy,2,6820.75,2026/2/17 20:59,68207.5,1.24
Mar20 '26,Sell,2,6821.25,2026/2/17 20:57,68212.5,1.24
Mar20 '26,Buy,2,6824.5,2026/2/17 20:56,68245,1.24
Mar20 '26,Sell,2,6822.75,2026/2/17 20:55,68227.5,1.24
Mar20 '26,Buy,1,6828.5,2026/2/17 20:53,34142.5,0.62
Mar20 '26,Buy,1,6821.75,2026/2/17 20:53,34108.75,0.62
Mar20 '26,Sell,2,6819.5,2026/2/17 20:48,68195,1.24
Mar20 '26,Buy,2,6825.5,2026/2/17 20:43,68255,1.24
Mar20 '26,Sell,2,6839.75,2026/2/17 17:50,68397.5,1.24
Mar20 '26,Buy,2,6835.5,2026/2/17 17:01,68355,1.24
Mar20 '26,Buy,2,6835.5,2026/2/17 16:00,68355,1.24
Mar20 '26,Sell,2,6827.75,2026/2/17 15:50,68277.5,1.24
Mar20 '26,Sell,1,6858,2026/2/16 23:14,34290,0.62
Mar20 '26,Buy,1,6861,2026/2/16 23:01,34305,0.62
Mar20 '26,Sell,1,6854.25,2026/2/16 22:51,34271.25,0.62
Mar20 '26,Buy,1,6850,2026/2/16 22:44,34250,0.62
Mar20 '26,Sell,1,6863.75,2026/2/16 22:16,34318.75,0.62
Mar20 '26,Buy,1,6866.75,2026/2/16 22:11,34333.75,0.62

